Draw No,Draw Date,Winning No,Additional No
3782,14/7/2022,"8,10,15,36,39,44",9
3781,11/7/2022,"1,6,13,25,34,43",42
3780,7/7/2022,"16,17,20,33,39,49",7
3779,4/7/2022,"2,3,9,27,28,38",15
3778,30/6/2022,"2,15,17,27,41,48",38
3777,27/6/2022,"21,24,27,32,34,38",41
3776,23/6/2022,"24,27,32,38,46,49",11
3775,20/6/2022,"20,25,28,33,40,49",1
3774,16/6/2022,"2,7,16,18,24,45",36
3773,13/6/2022,"3,5,12,16,30,45",49
3772,9/6/2022,"7,14,15,16,17,38",44
3771,6/6/2022,"12,28,29,34,41,47",16
3770,2/6/2022,"12,19,26,28,46,49",41
3769,30/5/2022,"8,13,19,34,37,47",29
3768,26/5/2022,"6,11,30,34,43,45",2
3767,23/5/2022,"7,10,16,21,27,35",22
3766,19/5/2022,"5,8,13,20,21,46",31
3765,16/5/2022,"21,22,40,41,42,46",9
3764,12/5/2022,"15,20,36,38,41,46",10
3763,9/5/2022,"5,12,15,21,30,39",6
3762,5/5/2022,"7,13,35,39,41,45",1
3761,2/5/2022,"12,14,23,32,35,38",13
3760,28/4/2022,"5,6,11,16,22,37",44
3759,25/4/2022,"6,16,26,32,39,47",23
3758,21/4/2022,"13,16,19,32,38,43",20
3757,18/4/2022,"12,20,33,39,42,48",49
3756,14/4/2022,"4,6,23,26,29,30",36
3755,11/4/2022,"2,12,18,27,36,49",6
3754,7/4/2022,"1,7,10,28,31,44",9
3753,4/4/2022,"14,15,28,31,40,42",44
3752,31/3/2022,"1,4,10,22,24,45",47
3751,28/3/2022,"5,9,10,12,39,44",14
3750,24/3/2022,"3,12,15,22,34,45",2
3749,21/3/2022,"1,20,22,23,24,31",2
3748,17/3/2022,"5,7,30,42,47,49",17
3747,14/3/2022,"19,37,38,45,47,49",25
3746,10/3/2022,"1,8,25,32,45,46",44
3745,7/3/2022,"19,22,24,28,29,42",40
3744,3/3/2022,"8,13,24,30,40,44",45
3743,28/2/2022,"1,9,20,27,37,49",33
3742,2/24/2022,"4,11,15,25,41,48",14
3741,2/21/2022,"1,19,22,27,37,44",25
3740,2/17/2022,"1,4,19,35,37,45",49
3739,2/14/2022,"10,23,29,33,37,43",8
3738,2/11/2022,"9,13,14,16,18,28",10
3737,2/7/2022,"1,11,17,28,32,35",44
3736,2/3/2022,"15,28,31,32,44,49",18
3735,1/31/2022,"5,6,10,22,23,40",38
3734,1/27/2022,"7,21,27,30,32,34",39
3733,1/24/2022,"1,8,10,31,32,38",39
3732,1/21/2022,"2,4,11,13,28,38",49
3731,1/17/2022,"4,13,26,31,33,35",29
3730,1/13/2022,"3,6,18,20,26,35",34
3729,1/10/2022,"8,11,17,21,30,44",48
3728,1/7/2022,"3,8,11,20,44,49",32
3727,1/3/2022,"6,12,20,33,46,47",49
3726,12/30/2021,"4,7,12,13,21,35",29
3725,12/27/2021,"3,9,13,23,24,44",7
3724,12/23/2021,"1,21,35,39,44,45",42
3723,12/20/2021,"4,5,16,18,24,34",27
3722,12/16/2021,"6,26,27,37,40,43",49
3721,12/13/2021,"5,18,19,23,40,49",20
3720,12/9/2021,"1,17,30,31,42,43",46
3719,12/6/2021,"7,16,33,37,42,43",48
3718,12/2/2021,"6,12,22,23,40,49",25
3717,11/29/2021,"1,7,12,26,28,32",21
3716,11/25/2021,"6,20,27,32,40,44",4
3715,11/22/2021,"1,3,16,20,35,41",5
3714,11/18/2021,"1,10,39,43,45,48",14
3713,11/15/2021,"23,27,31,34,43,48",1
3712,11/11/2021,"5,7,12,35,48,49",2
3711,11/8/2021,"7,8,20,31,35,41",3
3710,11/4/2021,"7,18,22,36,44,45",30
3709,11/1/2021,"7,15,22,24,26,37",9
3708,10/28/2021,"3,20,27,34,35,46",37
3707,10/25/2021,"4,18,24,40,43,47",48
3706,10/21/2021,"7,22,23,25,42,43",18
3705,10/18/2021,"5,23,24,27,44,49",26
3704,10/14/2021,"10,15,16,24,45,47",19
3703,10/11/2021,"10,26,27,36,37,43",42
3702,10/7/2021,"1,27,28,39,40,49",33
3701,10/4/2021,"10,14,28,30,35,40",6
3700,9/30/2021,"5,8,14,26,30,44",47
3699,9/27/2021,"20,28,33,38,40,44",49
3698,9/23/2021,"9,35,41,42,43,44",29
3697,9/20/2021,"3,6,10,16,33,49",1
3696,9/16/2021,"9,10,15,30,38,48",2
3695,9/13/2021,"6,25,26,41,42,44",37
3694,9/9/2021,"5,19,30,33,37,42",38
3693,9/6/2021,"1,15,31,32,33,44",20
3692,9/2/2021,"3,4,6,10,19,42",34
3691,8/30/2021,"19,23,24,27,36,37",17
3690,8/26/2021,"5,18,24,37,38,49",35
3689,8/23/2021,"5,17,26,27,31,48",4
3688,8/19/2021,"1,3,9,39,40,47",29
3687,8/16/2021,"10,21,28,31,37,38",6
3686,8/12/2021,"2,20,25,29,32,49",36
3685,8/9/2021,"15,24,33,34,36,40",18
3684,8/5/2021,"3,17,19,23,32,38",7
3683,8/2/2021,"12,16,23,26,33,44",10
3682,7/29/2021,"1,7,22,33,40,48",10
3681,7/26/2021,"3,8,30,34,39,46",44
3680,7/22/2021,"1,21,26,38,44,45",17
3679,7/19/2021,"4,10,21,33,42,44",19
3678,7/15/2021,"3,5,9,14,23,26",20
3677,7/12/2021,"18,19,23,24,38,45",27
3676,7/8/2021,"7,9,15,20,23,40",2
3675,7/5/2021,"8,14,20,28,29,36",18
3674,7/1/2021,"4,5,9,17,31,34",8
3673,6/28/2021,"14,31,32,33,38,47",45
3672,6/24/2021,"1,12,17,21,24,44",23
3671,6/21/2021,"7,8,10,14,17,28",45
3670,6/17/2021,"5,12,15,30,38,43",33
3669,6/14/2021,"5,16,23,24,28,45",40
3668,6/10/2021,"1,9,15,22,24,42",10
3667,6/7/2021,"7,14,23,31,39,41",33
3666,6/3/2021,"1,7,21,26,30,39",40
3665,5/31/2021,"14,15,18,19,30,44",6
3664,5/27/2021,"3,7,9,24,36,38",43
3663,5/24/2021,"11,18,23,31,32,33",49
3662,5/20/2021,"7,12,18,29,32,37",44
3661,5/17/2021,"5,6,11,36,41,46",8
3660,5/13/2021,"2,4,5,16,39,47",24
3659,5/10/2021,"6,18,32,33,34,45",8
3658,5/6/2021,"4,6,12,20,31,35",47
3657,5/3/2021,"15,17,18,35,41,42",3
3656,4/29/2021,"2,19,22,29,36,43",5
3655,4/26/2021,"2,15,18,36,42,49",26
3654,4/22/2021,"3,17,22,32,38,48",41
3653,4/19/2021,"8,10,16,17,20,43",32
3652,4/15/2021,"10,14,23,25,35,46",39
3651,4/12/2021,"4,23,27,43,48,49",47
3650,4/8/2021,"7,8,9,14,28,35",4
3649,4/5/2021,"9,11,15,17,25,40",5
3648,4/1/2021,"10,11,15,21,29,44",26
3647,3/29/2021,"14,15,20,23,30,35",39
3646,3/25/2021,"4,16,17,20,22,44",38
3645,3/22/2021,"2,12,20,35,37,44",17
3644,3/18/2021,"2,5,12,24,25,29",3
3643,3/15/2021,"12,15,19,28,35,43",44
3642,3/11/2021,"12,19,26,41,46,47",35
3641,3/8/2021,"8,13,17,27,33,40",38
3640,3/4/2021,"11,12,20,28,30,38",27
3639,3/1/2021,"5,6,7,13,25,37",30
3638,2/26/2021,"21,24,40,42,44,48",1
3637,2/22/2021,"3,6,8,11,36,48",1
3636,2/18/2021,"1,4,6,15,40,44",37
3635,2/15/2021,"9,13,18,20,34,40",36
3634,2/11/2021,"10,23,25,28,46,49",36
3633,2/8/2021,"9,10,25,27,34,42",29
3632,2/5/2021,"8,9,11,24,26,47",34
3631,2/1/2021,"4,6,9,18,27,39",33
3630,1/28/2021,"6,16,25,32,35,37",22
3629,1/25/2021,"8,9,12,17,33,39",48
3628,1/21/2021,"8,11,15,17,19,35",45
3627,1/18/2021,"2,12,23,33,35,37",43
3626,1/14/2021,"12,21,23,25,32,44",42
3625,1/11/2021,"3,5,8,19,26,47",41
3624,1/7/2021,"1,7,9,12,32,36",17
3623,1/4/2021,"4,5,8,12,27,42",14
3622,1/1/2021,"5,8,13,16,35,47",2
3621,12/28/2020,"32,34,40,45,46,47",25
3620,12/24/2020,"5,11,19,21,22,37",26
3619,12/21/2020,"4,8,15,31,36,39",47
3618,12/17/2020,"5,8,27,33,35,41",30
3617,12/14/2020,"6,21,29,45,47,48",15
3616,12/10/2020,"10,17,22,23,27,33",34
3615,12/7/2020,"7,13,14,33,37,48",24
3614,12/3/2020,"1,7,8,11,36,40",31
3613,11/30/2020,"2,3,25,33,35,49",10
3612,11/26/2020,"2,5,8,27,35,48",29
3611,11/23/2020,"1,7,11,22,30,45",48
3610,11/19/2020,"3,12,22,23,34,42",49
3609,11/16/2020,"1,2,20,27,36,44",17
3608,11/12/2020,"9,11,14,22,26,35",20
3607,11/9/2020,"8,12,13,30,37,46",36
3606,11/5/2020,"3,19,25,33,40,44",37
3605,11/2/2020,"3,36,37,44,48,49",35
3604,10/29/2020,"10,12,27,37,39,46",13
3603,10/26/2020,"2,8,11,19,41,49",27
3602,10/22/2020,"11,25,28,30,34,36",24
3601,10/19/2020,"9,10,11,13,20,25",15
3600,10/15/2020,"14,27,28,31,46,48",7
3599,10/12/2020,"1,10,14,40,41,48",30
3598,10/8/2020,"2,3,7,12,21,34",41
3597,10/5/2020,"7,10,14,15,39,44",1
3596,10/1/2020,"7,10,11,21,26,48",13
3595,9/28/2020,"5,16,27,34,41,42",49
3594,9/24/2020,"4,31,36,40,45,48",26
3593,9/21/2020,"13,16,17,20,27,38",26
3592,9/17/2020,"1,3,9,19,36,39",5
3591,9/14/2020,"2,11,13,15,28,45",36
3590,9/10/2020,"15,21,27,36,39,43",45
3589,9/7/2020,"9,11,19,22,36,45",23
3588,9/3/2020,"4,16,27,32,44,47",9
3587,8/31/2020,"12,15,16,23,25,46",47
3586,8/27/2020,"2,10,13,32,41,43",24
3585,8/24/2020,"1,19,24,26,37,41",22
